feature,attribution,absolute_attribution
sensor_11,-20.51673,20.51673
sensor_4,-18.015741,18.015741
sensor_7,-14.825071,14.825071
sensor_13,-11.299816,11.299816
sensor_20,-9.941319,9.941319
sensor_15,-9.58467,9.58467
sensor_21,-9.273562,9.273562
sensor_17,-9.256665,9.256665
sensor_9,6.5382657,6.5382657
sensor_14,2.950846,2.950846
setting_1,-2.8526318,2.8526318
sensor_8,-2.4580998,2.4580998
sensor_2,-2.3438337,2.3438337
sensor_3,-1.3002259,1.3002259
sensor_12,0.841862,0.841862
setting_2,-0.7368098,0.7368098
setting_3,0.0,0.0
